FastReview OF RUN ./data/case1/case1.data -- 353 time step  -- 1336 (+128) NR step : 9177 (+1257) LS step
        TIME   dt/NRiter      LSiter      dPBmax      dPWmax       dTmax       eVmax       dSmax       dNmax         CFL
         DAY       DAY/-           -           -           -           -           -           -           -           -
           -   1.000e+00   2.000e+00   1.794e+03   4.073e+03   0.000e+00   9.292e-16   4.241e-04   1.442e-02   0.000e+00
           -   2.000e+00   3.000e+00   3.914e+00   8.970e+00   0.000e+00   5.930e-04   5.535e-05   2.401e-02   0.000e+00
           -   3.000e+00   3.000e+00   1.513e+01   1.775e+01   0.000e+00   3.193e-07   9.346e-06   4.713e-04   0.000e+00
       0.010   1.000e-02   8.000e+00   9.014e+02   3.099e+03   0.000e+00   3.193e-07   2.846e-02   4.446e-02   0.000e+00
           -   1.000e+00   5.000e+00   1.652e+03   0.000e+00   0.000e+00   5.527e-03   1.237e-02   7.371e-02   0.000e+00
           -   2.000e+00   4.000e+00   2.719e+01   4.434e+02   0.000e+00   7.285e-05   8.305e-02   3.063e-01   0.000e+00
           -   3.000e+00   5.000e+00   7.643e+01   0.000e+00   0.000e+00   1.209e-03   1.014e-01   7.430e-02   0.000e+00
           -   4.000e+00   7.000e+00   3.557e-03   0.000e+00   0.000e+00   5.469e-02   9.981e-02   3.573e-01   0.000e+00
           -   5.000e+00   4.000e+00   7.745e+01   1.779e+01   0.000e+00   6.956e-03   1.002e-01   6.791e-04   0.000e+00
           -   6.000e+00   3.000e+00   3.527e+01   0.000e+00   0.000e+00   5.749e-05   8.197e-02   1.512e-03   0.000e+00
           -   7.000e+00   3.000e+00   1.091e-10   1.501e-11   0.000e+00   1.486e-06   3.230e-02   5.828e-03   0.000e+00
           -   8.000e+00   4.000e+00   5.667e-06   0.000e+00   0.000e+00   5.674e-07   7.196e-08   7.822e-04   0.000e+00
       0.110   1.000e-01   3.500e+01   7.566e+02   0.000e+00   0.000e+00   5.674e-07   1.382e-01   1.732e-01   0.000e+00
           -   1.000e+00   5.000e+00   3.025e+02   5.222e+01   0.000e+00   9.888e-03   2.615e-02   7.330e-02   0.000e+00
           -   2.000e+00   6.000e+00   1.638e+01   4.687e+00   0.000e+00   5.251e-05   1.819e-02   3.395e-02   0.000e+00
           -   3.000e+00   3.000e+00   2.667e-01   0.000e+00   0.000e+00   5.499e-05   2.001e-02   5.960e-02   0.000e+00
           -   4.000e+00   5.000e+00   6.452e+00   2.394e+00   0.000e+00   7.245e-06   3.912e-04   8.314e-05   0.000e+00
           -   5.000e+00   5.000e+00   5.605e-01   3.142e-01   0.000e+00   1.476e-08   2.740e-04   1.204e-05   0.000e+00
       0.210   1.000e-01   2.400e+01   2.525e+02   0.000e+00   0.000e+00   1.476e-08   7.434e-02   9.488e-02   0.000e+00
           -   1.000e+00   5.000e+00   2.139e+02   0.000e+00   0.000e+00   5.219e-03   2.375e-02   4.453e-02   0.000e+00
           -   2.000e+00   4.000e+00   2.226e+00   0.000e+00   0.000e+00   5.409e-06   5.470e-02   1.212e-01   0.000e+00
